date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-11-01 00:00:00,22,13,0.0,8.7,5,24,02:28 AM,03:25 PM,06:13 AM,04:57 PM,8,16,16,16,23,6,61,0.0,1014,16,10,243,15,california
2021-11-01 03:00:00,22,13,0.0,8.7,5,24,02:28 AM,03:25 PM,06:13 AM,04:57 PM,7,13,14,13,20,24,64,0.0,1015,14,10,245,11,california
2021-11-01 06:00:00,22,13,0.0,8.7,5,24,02:28 AM,03:25 PM,06:13 AM,04:57 PM,7,12,13,12,21,31,65,0.0,1015,13,10,240,11,california
2021-11-01 09:00:00,22,13,0.0,8.7,5,24,02:28 AM,03:25 PM,06:13 AM,04:57 PM,6,15,15,15,14,44,57,0.0,1017,15,10,236,9,california
2021-11-01 12:00:00,22,13,0.0,8.7,5,24,02:28 AM,03:25 PM,06:13 AM,04:57 PM,4,20,20,20,13,27,36,0.0,1016,20,10,220,11,california
2021-11-01 15:00:00,22,13,0.0,8.7,5,24,02:28 AM,03:25 PM,06:13 AM,04:57 PM,3,22,23,22,27,47,29,0.0,1014,22,10,234,24,california
2021-11-01 18:00:00,22,13,0.0,8.7,5,24,02:28 AM,03:25 PM,06:13 AM,04:57 PM,5,19,19,19,22,50,40,0.0,1015,19,10,258,19,california
2021-11-01 21:00:00,22,13,0.0,8.7,5,24,02:28 AM,03:25 PM,06:13 AM,04:57 PM,7,16,16,16,22,48,54,0.0,1018,16,10,241,18,california
2021-11-02 00:00:00,22,12,0.0,8.7,5,17,03:36 AM,03:55 PM,06:14 AM,04:56 PM,7,16,16,16,20,25,54,0.0,1018,16,10,245,14,california
2021-11-02 03:00:00,22,12,0.0,8.7,5,17,03:36 AM,03:55 PM,06:14 AM,04:56 PM,5,12,13,12,25,6,58,0.0,1018,13,10,258,13,california
2021-11-02 06:00:00,22,12,0.0,8.7,5,17,03:36 AM,03:55 PM,06:14 AM,04:56 PM,6,11,12,11,19,8,66,0.0,1018,12,10,275,10,california
2021-11-02 09:00:00,22,12,0.0,8.7,5,17,03:36 AM,03:55 PM,06:14 AM,04:56 PM,6,15,14,15,7,5,58,0.0,1020,14,10,294,5,california
2021-11-02 12:00:00,22,12,0.0,8.7,5,17,03:36 AM,03:55 PM,06:14 AM,04:56 PM,7,19,19,19,4,5,44,0.0,1019,19,10,207,4,california
2021-11-02 15:00:00,22,12,0.0,8.7,5,17,03:36 AM,03:55 PM,06:14 AM,04:56 PM,7,24,24,22,7,7,36,0.0,1016,22,10,191,6,california
2021-11-02 18:00:00,22,12,0.0,8.7,5,17,03:36 AM,03:55 PM,06:14 AM,04:56 PM,8,21,24,21,12,5,42,0.0,1016,21,10,271,10,california
2021-11-02 21:00:00,22,12,0.0,8.7,5,17,03:36 AM,03:55 PM,06:14 AM,04:56 PM,8,17,17,17,15,4,57,0.0,1018,17,10,276,11,california
2021-11-03 00:00:00,24,13,0.0,8.7,5,10,04:45 AM,04:27 PM,06:15 AM,04:55 PM,7,15,15,15,15,15,59,0.0,1019,15,10,297,9,california
2021-11-03 03:00:00,24,13,0.0,8.7,5,10,04:45 AM,04:27 PM,06:15 AM,04:55 PM,5,14,14,14,13,12,55,0.0,1019,14,10,292,6,california
2021-11-03 06:00:00,24,13,0.0,8.7,5,10,04:45 AM,04:27 PM,06:15 AM,04:55 PM,4,13,13,13,5,8,53,0.0,1019,13,10,270,3,california
2021-11-03 09:00:00,24,13,0.0,8.7,5,10,04:45 AM,04:27 PM,06:15 AM,04:55 PM,3,16,16,16,1,0,43,0.0,1020,16,10,225,1,california
2021-11-03 12:00:00,24,13,0.0,8.7,5,10,04:45 AM,04:27 PM,06:15 AM,04:55 PM,4,21,23,21,4,0,32,0.0,1019,21,10,100,3,california
2021-11-03 15:00:00,24,13,0.0,8.7,5,10,04:45 AM,04:27 PM,06:15 AM,04:55 PM,3,24,24,24,4,0,25,0.0,1016,24,10,153,4,california
2021-11-03 18:00:00,24,13,0.0,8.7,5,10,04:45 AM,04:27 PM,06:15 AM,04:55 PM,5,24,24,24,9,0,30,0.0,1015,24,10,184,8,california
2021-11-03 21:00:00,24,13,0.0,8.7,5,10,04:45 AM,04:27 PM,06:15 AM,04:55 PM,6,18,18,18,17,0,44,0.0,1016,18,10,273,10,california
2021-11-04 00:00:00,26,14,0.0,8.7,6,3,05:57 AM,05:02 PM,06:16 AM,04:54 PM,6,17,17,17,14,0,49,0.0,1016,17,10,281,6,california
2021-11-04 03:00:00,26,14,0.0,8.7,6,3,05:57 AM,05:02 PM,06:16 AM,04:54 PM,5,15,15,15,10,0,49,0.0,1016,15,10,267,5,california
2021-11-04 06:00:00,26,14,0.0,8.7,6,3,05:57 AM,05:02 PM,06:16 AM,04:54 PM,6,13,14,13,18,0,57,0.0,1016,14,10,282,9,california
2021-11-04 09:00:00,26,14,0.0,8.7,6,3,05:57 AM,05:02 PM,06:16 AM,04:54 PM,6,16,16,16,9,0,52,0.0,1017,16,10,291,5,california
2021-11-04 12:00:00,26,14,0.0,8.7,6,3,05:57 AM,05:02 PM,06:16 AM,04:54 PM,6,24,24,22,6,0,35,0.0,1016,22,10,224,5,california
2021-11-04 15:00:00,26,14,0.0,8.7,6,3,05:57 AM,05:02 PM,06:16 AM,04:54 PM,5,25,25,26,14,0,25,0.0,1012,26,10,244,12,california
2021-11-04 18:00:00,26,14,0.0,8.7,6,3,05:57 AM,05:02 PM,06:16 AM,04:54 PM,9,24,24,23,18,1,41,0.0,1013,23,10,269,15,california
2021-11-04 21:00:00,26,14,0.0,8.7,6,3,05:57 AM,05:02 PM,06:16 AM,04:54 PM,8,17,17,17,17,13,56,0.0,1015,17,10,286,11,california
2021-11-05 00:00:00,22,12,0.0,7.1,5,3,07:12 AM,05:43 PM,06:17 AM,04:53 PM,9,14,15,14,15,4,68,0.0,1016,15,10,289,9,california
2021-11-05 03:00:00,22,12,0.0,7.1,5,3,07:12 AM,05:43 PM,06:17 AM,04:53 PM,7,12,13,12,17,33,70,0.0,1016,13,10,292,8,california
2021-11-05 06:00:00,22,12,0.0,7.1,5,3,07:12 AM,05:43 PM,06:17 AM,04:53 PM,7,12,12,12,17,100,70,0.0,1016,12,10,295,8,california
2021-11-05 09:00:00,22,12,0.0,7.1,5,3,07:12 AM,05:43 PM,06:17 AM,04:53 PM,6,15,15,15,3,32,54,0.0,1017,15,10,239,2,california
2021-11-05 12:00:00,22,12,0.0,7.1,5,3,07:12 AM,05:43 PM,06:17 AM,04:53 PM,5,19,19,19,3,34,40,0.0,1016,19,10,114,3,california
2021-11-05 15:00:00,22,12,0.0,7.1,5,3,07:12 AM,05:43 PM,06:17 AM,04:53 PM,4,22,23,22,5,81,31,0.0,1013,22,10,135,4,california
2021-11-05 18:00:00,22,12,0.0,7.1,5,3,07:12 AM,05:43 PM,06:17 AM,04:53 PM,5,21,21,21,9,15,36,0.0,1013,21,10,190,6,california
2021-11-05 21:00:00,22,12,0.0,7.1,5,3,07:12 AM,05:43 PM,06:17 AM,04:53 PM,7,18,18,18,16,0,48,0.0,1015,18,10,264,8,california
2021-11-06 00:00:00,26,13,0.0,8.7,5,10,08:28 AM,06:30 PM,06:18 AM,04:52 PM,3,16,16,16,10,0,40,0.0,1014,16,10,265,5,california
2021-11-06 03:00:00,26,13,0.0,8.7,5,10,08:28 AM,06:30 PM,06:18 AM,04:52 PM,-1,15,15,15,14,2,36,0.0,1015,15,10,244,7,california
2021-11-06 06:00:00,26,13,0.0,8.7,5,10,08:28 AM,06:30 PM,06:18 AM,04:52 PM,-1,13,13,13,14,0,37,0.0,1015,13,10,246,7,california
2021-11-06 09:00:00,26,13,0.0,8.7,5,10,08:28 AM,06:30 PM,06:18 AM,04:52 PM,-1,16,16,16,9,0,33,0.0,1016,16,10,246,5,california
2021-11-06 12:00:00,26,13,0.0,8.7,5,10,08:28 AM,06:30 PM,06:18 AM,04:52 PM,-2,23,23,23,12,0,19,0.0,1014,23,10,217,10,california
2021-11-06 15:00:00,26,13,0.0,8.7,5,10,08:28 AM,06:30 PM,06:18 AM,04:52 PM,-2,25,25,26,24,0,16,0.0,1012,26,10,253,21,california
2021-11-06 18:00:00,26,13,0.0,8.7,5,10,08:28 AM,06:30 PM,06:18 AM,04:52 PM,6,21,21,21,22,0,38,0.0,1013,21,10,268,19,california
2021-11-06 21:00:00,26,13,0.0,8.7,5,10,08:28 AM,06:30 PM,06:18 AM,04:52 PM,6,13,14,13,22,2,58,0.0,1015,14,10,276,14,california
2021-11-07 00:00:00,15,9,0.0,7.1,4,17,09:43 AM,07:27 PM,06:19 AM,04:52 PM,6,12,14,12,26,0,60,0.0,1014,14,10,261,15,california
2021-11-07 03:00:00,15,9,0.0,7.1,4,17,09:43 AM,07:27 PM,06:19 AM,04:52 PM,5,9,11,9,29,3,64,0.0,1015,11,10,273,16,california
2021-11-07 06:00:00,15,9,0.0,7.1,4,17,09:43 AM,07:27 PM,06:19 AM,04:52 PM,4,7,9,7,24,4,69,0.0,1016,9,10,269,13,california
2021-11-07 09:00:00,15,9,0.0,7.1,4,17,09:43 AM,07:27 PM,06:19 AM,04:52 PM,4,8,10,8,20,100,65,0.0,1017,10,10,281,14,california
2021-11-07 12:00:00,15,9,0.0,7.1,4,17,09:43 AM,07:27 PM,06:19 AM,04:52 PM,5,14,15,14,17,6,52,0.0,1016,15,10,272,15,california
2021-11-07 15:00:00,15,9,0.0,7.1,4,17,09:43 AM,07:27 PM,06:19 AM,04:52 PM,3,15,15,15,21,24,44,0.0,1013,15,10,270,18,california
2021-11-07 18:00:00,15,9,0.0,7.1,4,17,09:43 AM,07:27 PM,06:19 AM,04:52 PM,4,10,12,10,22,7,57,0.0,1014,12,10,281,19,california
2021-11-07 21:00:00,15,9,0.0,7.1,4,17,09:43 AM,07:27 PM,06:19 AM,04:52 PM,2,8,10,8,15,13,60,0.0,1016,10,10,281,12,california
2021-11-08 00:00:00,20,8,0.0,8.7,3,24,10:50 AM,08:30 PM,06:20 AM,04:51 PM,4,9,10,9,15,100,64,0.0,1016,10,10,266,11,california
2021-11-08 03:00:00,20,8,0.0,8.7,3,24,10:50 AM,08:30 PM,06:20 AM,04:51 PM,3,7,9,7,18,10,69,0.0,1016,9,10,272,11,california
2021-11-08 06:00:00,20,8,0.0,8.7,3,24,10:50 AM,08:30 PM,06:20 AM,04:51 PM,1,6,8,6,17,3,64,0.0,1017,8,10,270,9,california
2021-11-08 09:00:00,20,8,0.0,8.7,3,24,10:50 AM,08:30 PM,06:20 AM,04:51 PM,0,10,10,10,5,4,49,0.0,1018,10,10,264,4,california
2021-11-08 12:00:00,20,8,0.0,8.7,3,24,10:50 AM,08:30 PM,06:20 AM,04:51 PM,-2,16,16,16,4,2,30,0.0,1017,16,10,186,3,california
2021-11-08 15:00:00,20,8,0.0,8.7,3,24,10:50 AM,08:30 PM,06:20 AM,04:51 PM,-4,20,20,20,14,5,20,0.0,1015,20,10,201,12,california
2021-11-08 18:00:00,20,8,0.0,8.7,3,24,10:50 AM,08:30 PM,06:20 AM,04:51 PM,0,18,18,18,29,14,31,0.0,1015,18,10,219,22,california
2021-11-08 21:00:00,20,8,0.0,8.7,3,24,10:50 AM,08:30 PM,06:20 AM,04:51 PM,-3,14,15,14,25,24,30,0.0,1017,15,10,245,15,california
2021-11-09 00:00:00,19,12,0.0,8.7,5,30,11:48 AM,09:39 PM,06:21 AM,04:50 PM,-7,13,14,13,25,9,23,0.0,1018,14,10,239,12,california
2021-11-09 03:00:00,19,12,0.0,8.7,5,30,11:48 AM,09:39 PM,06:21 AM,04:50 PM,-9,12,13,12,26,22,20,0.0,1019,13,10,248,12,california
2021-11-09 06:00:00,19,12,0.0,8.7,5,30,11:48 AM,09:39 PM,06:21 AM,04:50 PM,-9,11,12,11,31,85,22,0.0,1019,12,10,247,15,california
